Date	Open	High	Low	Close	Adj Close	Volume	Location	Index	Open/Close Difference	High/Low Difference
1/2/20	$28,639	$28,872.80	$28,627.77	$28,868.80	$28,868.800781	251820000	USA	DJI	($229.83)	$245.03
1/3/20	$28,553	$28,716.31	$28,500.36	$28,634.88	$28,634.880859	239590000	USA	DJI	($81.55)	$215.95
1/6/20	$28,466	$28,708.02	$28,418.63	$28,703.38	$28,703.380859	252760000	USA	DJI	($237.88)	$289.39
1/7/20	$28,639	$28,685.50	$28,565.28	$28,583.68	$28,583.679688	258900000	USA	DJI	$55.50	$120.22
1/8/20	$28,556	$28,866.18	$28,522.51	$28,745.09	$28,745.089844	291750000	USA	DJI	($188.95)	$343.67
1/9/20	$28,852	$28,988.01	$28,844.31	$28,956.90	$28,956.900391	275060000	USA	DJI	($104.93)	$143.70
1/10/20	$28,978	$29,009.07	$28,789.10	$28,823.77	$28,823.769531	237830000	USA	DJI	$153.75	$219.97
1/13/20	$28,869	$28,909.91	$28,819.43	$28,907.05	$28,907.050781	249830000	USA	DJI	($38.04)	$90.48
1/14/20	$28,896	$29,054.16	$28,872.27	$28,939.67	$28,939.669922	287440000	USA	DJI	($44.17)	$181.89
1/15/20	$28,902	$29,127.59	$28,897.35	$29,030.22	$29,030.220703	260270000	USA	DJI	($128.42)	$230.24
1/16/20	$29,132	$29,300.32	$29,131.95	$29,297.64	$29,297.640625	252110000	USA	DJI	($165.69)	$168.37
1/17/20	$29,313	$29,373.62	$29,289.91	$29,348.10	$29,348.099609	321820000	USA	DJI	($34.79)	$83.71
1/21/20	$29,269	$29,341.21	$29,146.47	$29,196.04	$29,196.039063	320640000	USA	DJI	$73.01	$194.74
1/22/20	$29,264	$29,320.20	$29,172.26	$29,186.27	$29,186.269531	283440000	USA	DJI	$77.36	$147.94
1/23/20	$29,111	$29,190.47	$28,966.98	$29,160.09	$29,160.089844	307060000	USA	DJI	($49.07)	$223.49
1/24/20	$29,230	$29,288.79	$28,843.31	$28,989.73	$28,989.730469	380010000	USA	DJI	$240.66	$445.48
1/27/20	$28,542	$28,671.79	$28,440.47	$28,535.80	$28,535.800781	337270000	USA	DJI	$6.69	$231.32
1/28/20	$28,594	$28,823.23	$28,575.75	$28,722.85	$28,722.849609	330140000	USA	DJI	($128.57)	$247.48
1/29/20	$28,821	$28,944.24	$28,728.19	$28,734.45	$28,734.449219	302290000	USA	DJI	$86.08	$216.05
1/30/20	$28,640	$28,879.71	$28,489.76	$28,859.44	$28,859.439453	326850000	USA	DJI	($219.28)	$389.95
1/31/20	$28,813	$28,813.04	$28,169.53	$28,256.03	$28,256.029297	403890000	USA	DJI	$557.01	$643.51
2/3/20	$28,320	$28,630.39	$28,319.65	$28,399.81	$28,399.810547	307910000	USA	DJI	($80.16)	$310.74
2/4/20	$28,697	$28,904.88	$28,696.74	$28,807.63	$28,807.630859	332750000	USA	DJI	($110.89)	$208.14
2/5/20	$29,049	$29,308.89	$29,000.85	$29,290.85	$29,290.849609	357540000	USA	DJI	($242.12)	$308.04
2/6/20	$29,389	$29,408.05	$29,246.93	$29,379.77	$29,379.769531	263700000	USA	DJI	$8.81	$161.12
2/7/20	$29,287	$29,286.92	$29,056.98	$29,102.51	$29,102.509766	252860000	USA	DJI	$184.41	$229.94
2/10/20	$28,996	$29,278.07	$28,995.66	$29,276.82	$29,276.820313	250510000	USA	DJI	($281.16)	$282.41
2/11/20	$29,391	$29,415.39	$29,210.47	$29,276.34	$29,276.339844	279540000	USA	DJI	$114.37	$204.92
2/12/20	$29,407	$29,568.57	$29,406.75	$29,551.42	$29,551.419922	309530000	USA	DJI	($144.67)	$161.82
2/13/20	$29,436	$29,535.40	$29,345.93	$29,423.31	$29,423.310547	291150000	USA	DJI	$12.72	$189.47
2/14/20	$29,440	$29,463.04	$29,283.18	$29,398.08	$29,398.080078	231000000	USA	DJI	$42.39	$179.86
2/18/20	$29,283	$29,330.16	$29,116.81	$29,232.19	$29,232.189453	256600000	USA	DJI	$50.59	$213.35
2/19/20	$29,313	$29,409.09	$29,274.38	$29,348.03	$29,348.029297	240640000	USA	DJI	($35.33)	$134.71
2/20/20	$29,296	$29,368.45	$28,959.65	$29,219.98	$29,219.980469	287780000	USA	DJI	$76.27	$408.80
2/21/20	$29,147	$29,146.53	$28,892.70	$28,992.41	$28,992.410156	311210000	USA	DJI	$154.12	$253.83
2/24/20	$28,403	$28,402.93	$27,912.44	$27,960.80	$27,960.800781	452580000	USA	DJI	$442.13	$490.49
2/25/20	$28,038	$28,149.20	$26,997.62	$27,081.36	$27,081.359375	513270000	USA	DJI	$956.29	$1,151.58
2/26/20	$27,159	$27,542.78	$26,890.97	$26,957.59	$26,957.589844	472450000	USA	DJI	$201.87	$651.81
2/27/20	$26,526	$26,775.31	$25,752.82	$25,766.64	$25,766.640625	664980000	USA	DJI	$759.36	$1,022.49
2/28/20	$25,271	$25,494.24	$24,681.01	$25,409.36	$25,409.359375	915990000	USA	DJI	($138.53)	$813.23
3/2/20	$25,591	$26,706.17	$25,391.96	$26,703.32	$26,703.320313	637200000	USA	DJI	($1,112.81)	$1,314.21
3/3/20	$26,762	$27,084.59	$25,706.28	$25,917.41	$25,917.410156	647080000	USA	DJI	$845.06	$1,378.31
3/4/20	$26,384	$27,102.34	$26,286.31	$27,090.86	$27,090.859375	457590000	USA	DJI	($707.18)	$816.03
3/5/20	$26,672	$26,671.92	$25,943.33	$26,121.28	$26,121.279297	477370000	USA	DJI	$550.64	$728.59
3/6/20	$25,457	$25,994.38	$25,226.62	$25,864.78	$25,864.779297	599780000	USA	DJI	($407.57)	$767.76
3/9/20	$24,992	$24,992.36	$23,706.07	$23,851.02	$23,851.019531	750430000	USA	DJI	$1,141.34	$1,286.29
3/10/20	$24,453	$25,020.99	$23,690.34	$25,018.16	$25,018.160156	654860000	USA	DJI	($565.16)	$1,330.65
3/11/20	$24,605	$24,604.63	$23,328.32	$23,553.22	$23,553.220703	663960000	USA	DJI	$1,051.41	$1,276.31
3/12/20	$22,185	$22,837.95	$21,154.46	$21,200.62	$21,200.619141	908260000	USA	DJI	$984.09	$1,683.49
3/13/20	$21,974	$23,189.76	$21,285.37	$23,185.62	$23,185.619141	843080000	USA	DJI	($1,211.80)	$1,904.39
3/16/20	$20,918	$21,768.28	$20,116.46	$20,188.52	$20,188.519531	770130000	USA	DJI	$729.01	$1,651.82
3/17/20	$20,487	$21,379.35	$19,882.26	$21,237.38	$21,237.380859	793060000	USA	DJI	($750.33)	$1,497.09
3/18/20	$20,189	$20,489.33	$18,917.46	$19,898.92	$19,898.919922	871360000	USA	DJI	$289.77	$1,571.87
3/19/20	$19,830	$20,442.63	$19,177.13	$20,087.19	$20,087.189453	780300000	USA	DJI	($257.18)	$1,265.50
3/20/20	$20,253	$20,531.26	$19,094.27	$19,173.98	$19,173.980469	872290000	USA	DJI	$1,079.17	$1,436.99
3/23/20	$19,028	$19,121.01	$18,213.65	$18,591.93	$18,591.929688	787970000	USA	DJI	$436.43	$907.36
3/24/20	$19,722	$20,737.70	$19,649.25	$20,704.91	$20,704.910156	799340000	USA	DJI	($982.72)	$1,088.45
3/25/20	$21,050	$22,019.93	$20,538.34	$21,200.55	$21,200.550781	796320000	USA	DJI	($150.21)	$1,481.59
3/26/20	$21,468	$22,595.06	$21,427.10	$22,552.17	$22,552.169922	705180000	USA	DJI	($1,083.79)	$1,167.96
3/27/20	$21,898	$22,327.57	$21,469.27	$21,636.78	$21,636.779297	588830000	USA	DJI	$261.69	$858.30
